,Alcohol,Alcohol (prev day),Breathing exercises,Breathing exercises (prev day),Coffee,Coffee (prev day),Emotional Rating,Emotional Rating (prev day),Energy Rating (1-5),Energy Rating (1-5) (prev day),Exercise,Exercise (prev day),Journal,Journal (prev day),MD,MD (prev day),Meditation,Meditation (prev day),Moda,Moda (prev day),Morning sun,Morning sun (prev day),Morning walk,Morning walk (prev day),Nap,Nap (prev day),Satisfaction/Fullfilment,Satisfaction/Fullfilment (prev day),Summary,Summary (prev day),Weighted blanket,Weighted blanket (prev day),nap_duration,recovery.heartRateVariabilityRmssd,recovery.restingHeartRate,recovery.score,sleep.qualityDuration,sleep.score,strain.averageHeartRate,strain.score
Exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exercise (prev day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,-0.11789775715353025,-0.08846032668454164,,,0.016237613878264945,-0.03248881998387264,0.0749645149955257,0.1949893159466267,0.03550814757871897,-0.053284513812862366,,,1.0,0.08749999999999991,0.0018593657104578267,0.09241628565701186,0.11945812495335345,0.11558982400557154,0.07750605760251303,0.11579953452145066,0.08998130367872773,0.028856914906443282,0.10464529159926386,0.14738025845764693,0.10984347313243133,0.1836199436779234,-0.24583380934244886,0.02732630010773033,,,0.2100555604919031,0.20976306088491675,0.11149969702274451,-0.01602885490218429,0.0022220641784350633,-0.06809061478249497,-0.16612766290972264,-0.15089845330726365,0.20511139397112058,0.08314651074905421
Journal (prev day),-0.07371693890378468,-0.11794710224605538,,,0.01624440999193626,0.01624440999193626,-0.16499095964714558,0.07499589074870258,-0.15097278913644357,0.03552300920857491,,,0.08749999999999991,1.0,-0.08991854820682284,0.001248868725094796,0.06563151024045163,0.11950812312440447,-0.0802110757068901,0.07753849709649492,0.14923147423046473,0.08904419456845414,-0.025640280251539374,0.10292257718736494,-0.03978432113021678,0.10915185540854334,-0.16395780064638202,-0.245936700969573,,,-0.058880859195766175,0.2097630608849169,0.04827012807390611,0.025559711385140373,0.04363736460611456,0.01515512184497938,-0.15486914269038074,-0.19827671272098343,0.001303161535840589,-0.02285143164612253
MD,0.013401346539392553,0.08425585580449292,,,-0.06328172452642938,0.08439448408163149,-2.162373957235194e-18,4.325714158663676e-18,-1.3215382611359614e-17,-9.49204467362903e-18,,,0.0018593657104578267,-0.08991854820682284,1.0,-0.06569343065693453,0.005088042093110223,0.14504159791127663,0.04544083190083094,0.04309356818360402,0.046225721039339494,-0.03266117638148218,0.18804695107747202,-0.10164293677892645,0.11047363533322133,0.013249438508974493,0.0,-1.9702040021763926e-18,,,-0.0427113883388015,-0.04301766118043581,0.010046829843328622,-0.006742672722611256,-0.028740815435274614,-0.0031322227216867733,-0.058855179126847755,-0.013516100119759162,0.016567740060625977,0.04810683378609374
MD (prev day),0.013404340696169316,0.013404340696169307,,,2.9824710291345505e-17,-0.06329586306122358,4.325714158663676e-18,4.325714158663676e-18,-8.965774798567895e-18,-9.49204467362903e-18,,,0.09241628565701186,0.001248868725094796,-0.06569343065693453,1.0,6.598260735588132e-19,0.0050891788740798655,0.10956452953913352,0.04545098438620821,0.04551147528567151,0.04551147528567157,-0.04043838313169956,0.18707046341024156,-0.08347146260653902,0.1099703396244881,-1.9702040021763926e-18,-1.9702040021763926e-18,,,-0.04301766118043581,-0.04301766118043581,-0.08430431937507166,-0.1029776552685265,-0.02968807468954323,-0.14183119483032822,-0.09674612455645679,-0.0975401510033985,-0.028258673418441592,0.00974490258122988
Meditation,0.07629306952002952,0.0999134696842674,,,0.05327456088404088,0.6408816324220584,0.1676671776299336,0.09231114274007583,0.2848051615528688,0.020573392871094987,,,0.11945812495335345,0.06563151024045163,0.005088042093110223,6.598260735588132e-19,1.0,-0.02913192071086811,-0.10655293743957422,0.19183378890431027,-0.036094846325240675,0.01007938501887091,0.0730330379481538,0.0024817319600078064,0.07791533229786743,0.12678798794802082,0.004576254342674267,-0.06597433344022076,,,-0.08809501740096116,0.1180961240735452,-0.07827577362085658,-0.10877450793696232,-0.05875656654674412,-0.10157649107945983,-0.021866100214078043,-0.05213962848984258,0.09620064174783419,0.08840641246595976
Meditation (prev day),-0.030883467462126314,0.07629306952002954,,,-0.25889169587053096,0.05327456088404096,-0.2231375922016345,0.16766717762993366,-0.13112439552782204,0.28480516155286884,,,0.11558982400557154,0.11950812312440447,0.14504159791127663,0.0050891788740798655,-0.02913192071086811,1.0,-0.042337754891972446,-0.1065529374395742,0.14867092902834575,-0.03611779631762078,0.002487736643259146,0.07321109282023006,-0.09768910546814737,0.07794343521394716,-0.13499950310889106,0.004576254342674268,,,-0.08810345764216838,-0.08810345764216845,-0.03321129857279813,0.07915344194720082,0.013164769277516688,0.1284783057192227,-0.03778110897297576,-0.01569679185281272,-0.08589033220696518,-0.07010574853873101
Moda,0.020716364165003023,-0.03853927449931127,,,0.17238834819379498,-0.05906500918590702,-0.13264478605162025,-0.080960380862751,-0.11780500344770581,-0.08325738026476699,,,0.07750605760251303,-0.0802110757068901,0.04544083190083094,0.10956452953913352,-0.10655293743957422,-0.042337754891972446,1.0,0.19661235306189206,-0.103958911250624,-0.07173489910692245,-0.0004587181140894097,-0.03079959384417697,0.14144231348587952,-0.011861873738208172,-0.1879572509188501,0.029991433339922106,,,0.03709140463702579,0.11012567461634705,0.10817252435147043,-0.031106454231436997,0.1604748849415226,-0.009814191853863076,0.02950376736140592,0.10769333518318591,0.009919379529395764,-0.002094964677120959
Moda (prev day),0.09146461584488176,0.02071636416500304,,,0.0213553207167946,0.172388348193795,0.154752250393557,-0.13264478605162028,0.14404819212997452,-0.11780500344770581,,,0.11579953452145066,0.07753849709649492,0.04309356818360402,0.04545098438620821,0.19183378890431027,-0.1065529374395742,0.19661235306189206,1.0,0.029321232871231503,-0.10402501088710811,0.040609613052834406,-0.00045983647089623236,0.007163244233833824,0.14149332965110417,-0.06712758961387505,-0.18795725091885016,,,-0.09489084839701725,0.03709495830454406,-0.035028944772155644,-0.14116531392886777,0.00801162769271216,-0.1135252960164186,-0.07346697782389457,-0.0445118010458564,0.014789355959309455,-0.03543553995115359
Morning sun,0.056852419071309786,-0.045510853791793614,,,-0.02784024700613067,-0.06964487130234194,0.0642653110800916,-0.025722469019142533,0.0989309673786486,0.09137895703806524,,,0.08998130367872773,0.14923147423046473,0.046225721039339494,0.04551147528567151,-0.036094846325240675,0.14867092902834575,-0.103958911250624,0.029321232871231503,1.0,0.3290915517850842,-0.36271771535901054,0.05300357754066593,0.11542955934120794,0.11458660022853516,0.11708196006203259,0.11715640365619713,,,0.04306157541428818,-0.07257669472653157,-0.05581521842767303,0.040692288317941014,0.014659626557733927,0.09652369216241606,0.07248788413559813,0.06964802602149384,-0.03742077769133414,-0.0063019864052498735
Morning sun (prev day),-0.1264190383105375,0.05688856723974136,,,-0.08357384556281028,-0.027857948520936777,0.06430617254785632,0.06430617254785632,0.022844739259516342,0.0989938701245707,,,0.028856914906443282,0.08904419456845414,-0.03266117638148218,0.04551147528567157,0.01007938501887091,-0.03611779631762078,-0.07173489910692245,-0.10402501088710811,0.3290915517850842,1.0,0.09736471912313392,-0.36632521817514335,0.11458660022853516,0.11458660022853517,0.1874502458499154,0.11715640365619713,,,0.1577754233185468,0.042599364296007615,0.03676163759756211,0.08787287828357068,0.13508130000144866,0.04574610127745206,-0.06750401946943711,-0.05036316792494378,-0.039400929271272984,-0.05320809348626563
Morning walk,-0.18444302765479012,-0.12543216070782195,,,-0.06158216546791858,0.08250889022908807,0.12319996360863143,-0.019046021740675753,0.016833358614492425,0.0676609077103782,,,0.10464529159926386,-0.025640280251539374,0.18804695107747202,-0.04043838313169956,0.0730330379481538,0.002487736643259146,-0.0004587181140894097,0.040609613052834406,-0.36271771535901054,0.09736471912313392,1.0,0.28032947976390504,-0.08510942475562894,-0.08290183260614974,0.017265557153667024,-0.03469905489142188,,,-0.055996331607593416,-0.05490714153464605,-0.07930847048716153,-0.04557393697301363,-0.06253313687002757,-0.0002953585782754991,-0.20438541938559873,-0.277095449367097,0.16221132268399252,0.06899451819329153
Morning walk (prev day),-0.10645337306029226,-0.18489270057840232,,,0.04115486870789588,-0.06173230306184355,-0.019000050102937923,0.12350032566909647,-0.044998395780886526,0.01687439841783245,,,0.14738025845764693,0.10292257718736494,-0.10164293677892645,0.18707046341024156,0.0024817319600078064,0.07321109282023006,-0.03079959384417697,-0.00045983647089623236,0.05300357754066593,-0.36632521817514335,0.28032947976390504,1.0,-0.08722448227537226,-0.08722448227537226,-0.17307650658972148,0.01730765065897214,,,-0.05710544596082616,-0.05710544596082621,-0.01740377372872537,-0.06288986906479063,-0.11680592377719677,0.019070348436690577,-0.16765682285264444,-0.26591000290057276,0.13887966778643834,0.10465035035317648
Nap,0.17512146423278005,0.31282969280903666,,,0.10336636905915421,0.2068073035808299,-0.17497830981833892,0.09547713923177693,-0.2448765363130259,-0.07537380297949818,,,0.10984347313243133,-0.03978432113021678,0.11047363533322133,-0.08347146260653902,0.07791533229786743,-0.09768910546814737,0.14144231348587952,0.007163244233833824,0.11542955934120794,0.11458660022853516,-0.08510942475562894,-0.08722448227537226,1.0,0.20995670995670979,0.02898043515029686,0.11596355187057258,,,0.23061582436341277,0.2303492760489645,0.5437927088744523,-0.051865086683060425,0.0918422622547037,-0.16560458957130497,-0.08845397860603216,-0.05482462471411144,-0.012175073670995603,-0.004692129260045515
Nap (prev day),0.20177515186182848,0.17518462797306036,,,-0.15510547768562266,0.10340365179041489,0.11138999577040642,-0.1750414219249244,0.11306070446924729,-0.24496485968336876,,,0.1836199436779234,0.10915185540854334,0.013249438508974493,0.1099703396244881,0.12678798794802082,0.07794343521394716,-0.011861873738208172,0.14149332965110417,0.11458660022853516,0.11458660022853517,-0.08290183260614974,-0.08722448227537226,0.20995670995670979,1.0,0.028990887967643153,0.028990887967643153,,,0.2303492760489645,0.23034927604896446,0.20793285473437592,0.02311333291286608,0.10588728009680017,-0.07843332885398566,-0.03599116637019571,0.013005485813686513,-0.030055302624016518,-0.003773831277727732
Satisfaction/Fullfilment,-0.07346805982082985,0.0970007977321894,,,-0.14545313658223172,0.037944296499712635,0.18685673434682068,-0.26860655562355473,0.4494531434284337,0.003457331872526386,,,-0.24583380934244886,-0.16395780064638202,0.0,-1.9702040021763926e-18,0.004576254342674267,-0.13499950310889106,-0.1879572509188501,-0.06712758961387505,0.11708196006203259,0.1874502458499154,0.017265557153667024,-0.17307650658972148,0.02898043515029686,0.028990887967643153,1.0,-0.07446808510638298,,,0.20914944549771394,-0.31375422565198074,-0.17034302489890116,0.04466250319386132,0.027655985974121552,0.056357834336338924,0.16641819205447703,0.16426822226794088,-0.11135357511772195,-0.07035451700051337
Satisfaction/Fullfilment (prev day),-0.026976553215460962,-0.07346805982082985,,,0.037944296499712635,-0.14545313658223172,-0.18101746139848254,0.18685673434682068,-0.07260396932305468,0.4494531434284337,,,0.02732630010773033,-0.245936700969573,-1.9702040021763926e-18,-1.9702040021763926e-18,-0.06597433344022076,0.004576254342674268,0.029991433339922106,-0.18795725091885016,0.11715640365619713,0.11715640365619713,-0.03469905489142188,0.01730765065897214,0.11596355187057258,0.028990887967643153,-0.07446808510638298,1.0,,,0.15687711282599034,0.20916948376798714,0.11624885895411906,0.09296691370642197,-0.025836367291304584,0.10847756270095478,0.07243851660329967,0.11586214954525281,-0.02576348281455304,-0.06450919982926018
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary (prev day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted blanket,0.09591622948970505,0.22006419668678662,,,1.9221205350200146e-17,-0.09325726970171583,0.17220057859491616,0.172217076853981,-0.1359426202796087,-0.13595564472229998,,,0.2100555604919031,-0.058880859195766175,-0.0427113883388015,-0.04301766118043581,-0.08809501740096116,-0.08810345764216838,0.03709140463702579,-0.09489084839701725,0.04306157541428818,0.1577754233185468,-0.055996331607593416,-0.05710544596082616,0.23061582436341277,0.2303492760489645,0.20914944549771394,0.15687711282599034,,,1.0,0.48591549295774666,0.18785615576716552,-0.03592126299028509,0.15738232145905412,-0.0873718172105521,-0.08002276966368468,-0.038899934828791345,-0.06212354251459237,-0.06401109054604832
Weighted blanket (prev day),0.047962709534299694,0.09592541906859936,,,1.9194413435081396e-17,1.9111678894412942e-17,-0.057405692284660303,0.17221707685398102,-0.30590020062517553,-0.13595564472229998,,,0.20976306088491675,0.2097630608849169,-0.04301766118043581,-0.04301766118043581,0.1180961240735452,-0.08810345764216845,0.11012567461634705,0.03709495830454406,-0.07257669472653157,0.042599364296007615,-0.05490714153464605,-0.05710544596082621,0.2303492760489645,0.23034927604896446,-0.31375422565198074,0.20916948376798714,,,0.48591549295774666,1.0,0.24577120983454723,-0.0647211485818,0.16601724363669362,-0.1396481759853723,-0.19491947872774362,-0.1734112271428088,0.042177177929044324,0.05285915998795495
nap_duration,0.02006096544010706,0.07622880839298042,,,4.038182712855124e-17,4.261911325648438e-17,-0.17852557845163225,0.11446376564026056,-0.272115548695106,-0.06950330000262007,,,0.11149969702274451,0.04827012807390611,0.010046829843328622,-0.08430431937507166,-0.07827577362085658,-0.03321129857279813,0.10817252435147043,-0.035028944772155644,-0.05581521842767303,0.03676163759756211,-0.07930847048716153,-0.01740377372872537,0.5437927088744523,0.20793285473437592,-0.17034302489890116,0.11624885895411906,,,0.18785615576716552,0.24577120983454723,1.0,-0.07941996287527091,0.1284937804156523,-0.20839271838468232,-0.17059635589788247,-0.10555239515704071,0.0334126876106144,0.027844815539411136
recovery.heartRateVariabilityRmssd,0.03558179085081145,-0.013645063545628174,,,0.012477112608117734,-0.16453657869231483,-0.03556426580082558,0.06166204041645561,0.041639897645073844,0.09549294464459918,,,-0.01602885490218429,0.025559711385140373,-0.006742672722611256,-0.1029776552685265,-0.10877450793696232,0.07915344194720082,-0.031106454231436997,-0.14116531392886777,0.040692288317941014,0.08787287828357068,-0.04557393697301363,-0.06288986906479063,-0.051865086683060425,0.02311333291286608,0.04466250319386132,0.09296691370642197,,,-0.03592126299028509,-0.0647211485818,-0.07941996287527091,1.0,-0.14607820513923334,0.8831113552814975,0.26125282352470713,0.29980277418869233,-0.19676581288958458,-0.021767154417275707
recovery.restingHeartRate,0.10962154952631188,0.10852914135280001,,,0.07562581821795156,-0.06911416605886002,-0.11030901712464107,-0.0344404613958135,-0.0683080145156841,-0.06957133336754012,,,0.0022220641784350633,0.04363736460611456,-0.028740815435274614,-0.02968807468954323,-0.05875656654674412,0.013164769277516688,0.1604748849415226,0.00801162769271216,0.014659626557733927,0.13508130000144866,-0.06253313687002757,-0.11680592377719677,0.0918422622547037,0.10588728009680017,0.027655985974121552,-0.025836367291304584,,,0.15738232145905412,0.16601724363669362,0.1284937804156523,-0.14607820513923334,1.0,-0.24187053423303584,-0.09179062966556455,-0.03273678167399843,0.18108221802068936,0.048075758953597496
recovery.score,-0.04126087608891923,-0.0782606300646764,,,0.019083710825044453,-0.1694869338327439,-0.02917226213420439,0.060130018915232654,0.09888152684510157,0.15029352141777205,,,-0.06809061478249497,0.01515512184497938,-0.0031322227216867733,-0.14183119483032822,-0.10157649107945983,0.1284783057192227,-0.009814191853863076,-0.1135252960164186,0.09652369216241606,0.04574610127745206,-0.0002953585782754991,0.019070348436690577,-0.16560458957130497,-0.07843332885398566,0.056357834336338924,0.10847756270095478,,,-0.0873718172105521,-0.1396481759853723,-0.20839271838468232,0.8831113552814975,-0.24187053423303584,1.0,0.332024725459625,0.3204791074471732,-0.13137417248955158,-0.011006985935965974
sleep.qualityDuration,-0.12281602942405205,-0.07531239830945294,,,0.08295983339606565,-0.053883841281204076,-0.1275994077536559,-0.29551278684394283,0.0933670171202497,-0.12033233290902129,,,-0.16612766290972264,-0.15486914269038074,-0.058855179126847755,-0.09674612455645679,-0.021866100214078043,-0.03778110897297576,0.02950376736140592,-0.07346697782389457,0.07248788413559813,-0.06750401946943711,-0.20438541938559873,-0.16765682285264444,-0.08845397860603216,-0.03599116637019571,0.16641819205447703,0.07243851660329967,,,-0.08002276966368468,-0.19491947872774362,-0.17059635589788247,0.26125282352470713,-0.09179062966556455,0.332024725459625,1.0,0.9269482672810042,-0.1352798681843861,-0.07564894439699317
sleep.score,-0.026244156972508433,-0.020607149926752465,,,0.07537139780998861,-0.07172550836862387,-0.14575289851128978,-0.2964878529003808,0.11065808119687309,-0.09660184979723924,,,-0.15089845330726365,-0.19827671272098343,-0.013516100119759162,-0.0975401510033985,-0.05213962848984258,-0.01569679185281272,0.10769333518318591,-0.0445118010458564,0.06964802602149384,-0.05036316792494378,-0.277095449367097,-0.26591000290057276,-0.05482462471411144,0.013005485813686513,0.16426822226794088,0.11586214954525281,,,-0.038899934828791345,-0.1734112271428088,-0.10555239515704071,0.29980277418869233,-0.03273678167399843,0.3204791074471732,0.9269482672810042,1.0,-0.19525921865558266,-0.11138146002758814
strain.averageHeartRate,-0.1208440396574926,-0.10529400972210426,,,0.07092355511313703,0.060304295423781504,0.03492631335728653,0.09368651514017497,0.06772458370720984,-0.05913327831348982,,,0.20511139397112058,0.001303161535840589,0.016567740060625977,-0.028258673418441592,0.09620064174783419,-0.08589033220696518,0.009919379529395764,0.014789355959309455,-0.03742077769133414,-0.039400929271272984,0.16221132268399252,0.13887966778643834,-0.012175073670995603,-0.030055302624016518,-0.11135357511772195,-0.02576348281455304,,,-0.06212354251459237,0.042177177929044324,0.0334126876106144,-0.19676581288958458,0.18108221802068936,-0.13137417248955158,-0.1352798681843861,-0.19525921865558266,1.0,0.7907472087909291
strain.score,-0.05367734859065384,-0.09459740071159899,,,0.04793283161616143,0.04888756594577737,0.09401465366439091,0.0530343919008251,0.05765756471562771,-0.08615867718325515,,,0.08314651074905421,-0.02285143164612253,0.04810683378609374,0.00974490258122988,0.08840641246595976,-0.07010574853873101,-0.002094964677120959,-0.03543553995115359,-0.0063019864052498735,-0.05320809348626563,0.06899451819329153,0.10465035035317648,-0.004692129260045515,-0.003773831277727732,-0.07035451700051337,-0.06450919982926018,,,-0.06401109054604832,0.05285915998795495,0.027844815539411136,-0.021767154417275707,0.048075758953597496,-0.011006985935965974,-0.07564894439699317,-0.11138146002758814,0.7907472087909291,1.0
